"Title","Price","Link"
"Hardal Tohumu Yağı 1 Kg","750","https://www.cansizzadeyag.com/urun/hardal-tohumu-yagi-1-kg"
"Soğuk Sıkım Kavun Çekirdeği Yağı","1950","https://www.cansizzadeyag.com/urun/kavun-cekirdegi-yagi"
"Soğuk Sıkım Kavun Çekirdeği Yağı 1 kg","3500","https://www.cansizzadeyag.com/urun/kavun-cekirdegi-yagi-1-kg"
"Soğuk Sıkım Kavun Çekirdeği Yağı 0,5 kg","1950","https://www.cansizzadeyag.com/urun/kavun-cekirdegi-yagi-0-5-kg"
"Bamya Tohumu Yağı","350","https://www.cansizzadeyag.com/urun/bamya-tohumu-yagi"
"Bamya Tohumu Yağı 250 ml","350","https://www.cansizzadeyag.com/urun/bamya-tohumu-yagi-250-ml"
"Bamya Tohumu Yağı 1 kg","850","https://www.cansizzadeyag.com/urun/bamya-tohumu-yagi-1-kg"
"Bamya Tohumu Yağı 500 ml","470","https://www.cansizzadeyag.com/urun/bamya-tohumu-yagi-500-ml"
"Balmumu Sarı Naturel BeesWax - Doypack Ambalaj","650","https://www.cansizzadeyag.com/urun/balmumu-natural-beeswax"
"Balmumu Sarı Naturel BeesWax - Doypack Ambalaj 1 kg","650","https://www.cansizzadeyag.com/urun/balmumu-natural-beeswax-1-kg"
"Balmumu Sarı Naturel BeesWax - Doypack Ambalaj 5 kg","2500","https://www.cansizzadeyag.com/urun/balmumu-natural-beeswax-5-kg"
"Arnika Yağı -Arnica Flower","990","https://www.cansizzadeyag.com/urun/arnica-yagi"
"Arnika Yağı -Arnica Flower 250 ml","990","https://www.cansizzadeyag.com/urun/arnica-yagi-250-ml"
"Arnika Yağı -Arnica Flower 1 kg","3200","https://www.cansizzadeyag.com/urun/arnica-yagi-1-kg"
"Arnika Yağı -Arnica Flower 500 ml","1800","https://www.cansizzadeyag.com/urun/arnica-yagi-500-ml"
"Niaouli Uçucu Yağı 10 ml, Nioli, Niaoli","250","https://www.cansizzadeyag.com/urun/nioli-ucucu-yagi-10ml"
